name,image_url,stat_value
Micky van de Ven,https://img.a.transfermarkt.technology/portrait/header/557459-1744313600.jpg?lm=1,55000000
Edmond Tapsoba,https://img.a.transfermarkt.technology/portrait/header/564545-1695368009.jpg?lm=1,40000000
Johan Bakayoko,https://img.a.transfermarkt.technology/portrait/header/565424-1697637209.jpg?lm=1,35000000
Harvey Elliott,https://img.a.transfermarkt.technology/portrait/header/565822-1665128076.jpg?lm=1,35000000
Michael Olise,https://img.a.transfermarkt.technology/portrait/header/566723-1725873883.jpg?lm=1,80000000
Xavi Simons,https://img.a.transfermarkt.technology/portrait/header/566931-1729778226.jpg?lm=1,70000000
Elliot Anderson,https://img.a.transfermarkt.technology/portrait/header/567576-1696453772.jpg?lm=1,30000000
Yéremy Pino,https://img.a.transfermarkt.technology/portrait/header/568157-1686664370.jpg?lm=1,30000000
Cole Palmer,https://img.a.transfermarkt.technology/portrait/header/568177-1712320986.jpg?lm=1,130000000
Pape Matar Sarr,https://img.a.transfermarkt.technology/portrait/header/568693-1668163083.jpg?lm=1,40000000
Enzo Millot,https://img.a.transfermarkt.technology/portrait/header/569366-1723707547.jpg?lm=1,35000000
Youssouf Fofana,https://img.a.transfermarkt.technology/portrait/header/569598-1725528517.jpg?lm=1,30000000
Oihan Sancet,https://img.a.transfermarkt.technology/portrait/header/571020-1709676037.png?lm=1,60000000
Giorgio Scalvini,https://img.a.transfermarkt.technology/portrait/header/571604-1701860841.jpg?lm=1,35000000
Julián Alvarez,https://img.a.transfermarkt.technology/portrait/header/576024-1684920938.jpg?lm=1,90000000
Jan Paul van Hecke,https://img.a.transfermarkt.technology/portrait/header/576314-1742501220.jpg?lm=1,32000000
Rayan Aït-Nouri,https://img.a.transfermarkt.technology/portrait/header/578391-1695656762.jpg?lm=1,35000000
Jamal Musiala,https://img.a.transfermarkt.technology/portrait/header/580195-1711745441.jpg?lm=1,140000000
Jude Bellingham,https://img.a.transfermarkt.technology/portrait/header/581678-1693987944.jpg?lm=1,180000000
Anthony Elanga,https://img.a.transfermarkt.technology/portrait/header/583189-1700739021.jpg?lm=1,35000000
Antoine Semenyo,https://img.a.transfermarkt.technology/portrait/header/583255-1737452028.jpg?lm=1,35000000
Florian Wirtz,https://img.a.transfermarkt.technology/portrait/header/598577-1689710503.jpg?lm=1,140000000
Matheus Nunes,https://img.a.transfermarkt.technology/portrait/header/601883-1693561106.jpg?lm=1,35000000
Rayan Cherki,https://img.a.transfermarkt.technology/portrait/header/607223-1672831487.jpg?lm=1,35000000
Éderson,https://img.a.transfermarkt.technology/portrait/header/607854-1646648856.jpg?lm=1,50000000
Rasmus Højlund,https://img.a.transfermarkt.technology/portrait/header/610442-1699471458.jpg?lm=1,45000000
Liam Delap,https://img.a.transfermarkt.technology/portrait/header/610849-1601282009.jpg?lm=1,35000000
Levi Colwill,https://img.a.transfermarkt.technology/portrait/header/614258-1694614507.jpg?lm=1,55000000
Nuno Mendes,https://img.a.transfermarkt.technology/portrait/header/616341-1672304855.jpg?lm=1,55000000
Castello Lukeba,https://img.a.transfermarkt.technology/portrait/header/618472-1713897532.jpg?lm=1,50000000
Malo Gusto,https://img.a.transfermarkt.technology/portrait/header/620322-1672831209.jpg?lm=1,35000000
Georgiy Sudakov,https://img.a.transfermarkt.technology/portrait/header/623325-1723486618.png?lm=1,32000000
Manu Koné,https://img.a.transfermarkt.technology/portrait/header/624690-1691248968.jpg?lm=1,35000000
João Pedro,https://img.a.transfermarkt.technology/portrait/header/626724-1724792744.jpg?lm=1,50000000
Benjamin Sesko,https://img.a.transfermarkt.technology/portrait/header/627442-1713897956.jpg?lm=1,65000000
Roméo Lavia,https://img.a.transfermarkt.technology/portrait/header/628451-1683898478.jpg?lm=1,40000000
Alejandro Balde,https://img.a.transfermarkt.technology/portrait/header/636688-1662836200.jpg?lm=1,60000000
Marc Casadó,https://img.a.transfermarkt.technology/portrait/header/636695-1729771427.jpg?lm=1,30000000
Fermín López,https://img.a.transfermarkt.technology/portrait/header/636703-1698086824.jpg?lm=1,50000000
Eduardo Camavinga,https://img.a.transfermarkt.technology/portrait/header/640428-1668500874.jpg?lm=1,70000000
Gavi,https://img.a.transfermarkt.technology/portrait/header/646740-1682685701.jpg?lm=1,70000000
Cristhian Mosquera,https://img.a.transfermarkt.technology/portrait/header/646750-1644238478.jpg?lm=1,30000000
Evan Ferguson,https://img.a.transfermarkt.technology/portrait/header/648046-1681739980.jpg?lm=1,32000000
Enzo Fernández,https://img.a.transfermarkt.technology/portrait/header/648195-1669894717.jpg?lm=1,75000000
António Silva,https://img.a.transfermarkt.technology/portrait/header/650568-1700235534.jpg?lm=1,32000000
Bilal El Khannouss,https://img.a.transfermarkt.technology/portrait/header/654982-1714038053.png?lm=1,30000000
Gabriel Martinelli,https://img.a.transfermarkt.technology/portrait/header/655488-1682689091.jpg?lm=1,55000000
Victor Boniface,https://img.a.transfermarkt.technology/portrait/header/656681-1727378262.jpg?lm=1,45000000
Simon Adingra,https://img.a.transfermarkt.technology/portrait/header/658536-1666292606.jpg?lm=1,30000000
Ilya Zabarnyi,https://img.a.transfermarkt.technology/portrait/header/659089-1715881375.jpg?lm=1,40000000
Piero Hincapié,https://img.a.transfermarkt.technology/portrait/header/659813-1727377918.jpg?lm=1,50000000
Jarrad Branthwaite,https://img.a.transfermarkt.technology/portrait/header/661053-1687975679.jpg?lm=1,50000000
Willian Pacho,https://img.a.transfermarkt.technology/portrait/header/661171-1696508666.jpg?lm=1,45000000
João Neves,https://img.a.transfermarkt.technology/portrait/header/670681-1701295511.jpg?lm=1,65000000
Lewis Hall,https://img.a.transfermarkt.technology/portrait/header/670858-1699385942.jpg?lm=1,30000000
Jamie Gittens,https://img.a.transfermarkt.technology/portrait/header/670882-1736780080.jpg?lm=1,50000000
Pedri,https://img.a.transfermarkt.technology/portrait/header/683840-1744278342.jpg?lm=1,120000000
Moisés Caicedo,https://img.a.transfermarkt.technology/portrait/header/687626-1660729724.jpg?lm=1,80000000
Rico Lewis,https://img.a.transfermarkt.technology/portrait/header/701057-1684856684.jpg?lm=1,40000000
Bradley Barcola,https://img.a.transfermarkt.technology/portrait/header/708265-1653406915.jpg?lm=1,70000000
Nico Williams,https://img.a.transfermarkt.technology/portrait/header/709187-1709676169.png?lm=1,70000000
Hugo Ekitiké,https://img.a.transfermarkt.technology/portrait/header/709726-1724772213.jpg?lm=1,55000000
Evanilson,https://img.a.transfermarkt.technology/portrait/header/711337-1737452098.jpg?lm=1,35000000
Loïc Badé,https://img.a.transfermarkt.technology/portrait/header/730581-1681464974.jpg?lm=1,30000000
Milos Kerkez,https://img.a.transfermarkt.technology/portrait/header/730861-1660762995.jpg?lm=1,35000000
João Gomes,https://img.a.transfermarkt.technology/portrait/header/735570-1675092223.jpg?lm=1,40000000
Savinho,https://img.a.transfermarkt.technology/portrait/header/743591-1719653229.jpg?lm=1,55000000
